GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Docs Core,com.sismics.util.jpa,EMF.new DbOpenHelper() {...},17,4,2,0,5,1,3,1,2,1
Docs Core,com.sismics.util.jpa,DialectUtil,83,9,16,2,17,2,12,1,3,1
Docs Core,com.sismics.util.jpa,DbOpenHelper,212,106,23,5,50,35,19,3,5,3
Docs Core,com.sismics.util.jpa,EMF,143,61,5,1,37,20,4,5,1,5
Docs Core,com.sismics.docs.core.model.context,AppContext,185,180,23,5,50,42,19,8,6,7
Docs Core,com.sismics.util,ImageUtil,108,82,14,8,32,16,12,4,2,3
Docs Core,com.sismics.util,ClasspathScanner,84,0,12,0,16,0,10,0,4,0
Docs Core,com.sismics.util,LocaleUtil,43,0,6,0,12,0,5,0,2,0
Docs Core,com.sismics.util,ImageDeskew.HoughLine,12,0,0,0,3,0,1,0,1,0
Docs Core,com.sismics.util,ResourceUtil,22,125,5,19,3,29,5,10,1,2
Docs Core,com.sismics.util,EmailUtil.MailContent,28,0,0,0,10,0,7,0,7,0
Docs Core,com.sismics.util,EmailUtil.FileContent,12,0,0,0,4,0,4,0,4,0
Docs Core,com.sismics.util,HttpUtil,20,0,0,0,3,0,3,0,3,0
Docs Core,com.sismics.util,EmailUtil,411,0,40,0,97,0,26,0,6,0
Docs Core,com.sismics.util,MessageUtil,24,0,0,0,8,0,3,0,3,0
Docs Core,com.sismics.util,Scalr,42,45,5,5,4,13,6,1,1,1
Docs Core,com.sismics.util,JsonUtil,44,0,6,0,10,0,7,0,4,0
Docs Core,com.sismics.util,EnvironmentUtil,41,24,7,1,10,7,13,3,9,3
Docs Core,com.sismics.util,ImageDeskew,386,0,28,0,64,0,21,0,7,0
Docs Core,com.sismics.util,ResourceBundleModel,71,0,4,0,15,0,4,0,2,0
Docs Core,com.sismics.util,HtmlToPlainText.FormattingVisitor,264,0,30,0,41,0,20,0,5,0
Docs Core,com.sismics.util,HtmlToPlainText,13,0,0,0,4,0,2,0,2,0
Docs Core,com.sismics.docs.core.event,AclEvent,43,0,0,0,15,0,8,0,8,0
